TIMESTAMP_MS,COUNTER,DEVICE_ID,PULSE_BPM,SPO2_PCT,SPO2_STATUS,PLETH,BATTERY_PCT,RED_ADC,IR_ADC,PERFUSION_INDEX
0,9,4,97,100,0,7216,100,230172,275023,1.8
10,10,4,97,100,0,7300,100,229823,274057,1.8
20,11,4,97,100,0,7885,100,229554,273375,1.8
30,12,4,97,100,0,9154,100,229371,272920,1.8
40,13,4,97,100,0,11153,100,229294,272723,1.8
50,14,4,97,100,0,14019,100,229317,272717,1.8
60,15,4,97,100,0,17755,100,229364,272803,1.8
70,16,4,97,100,0,22273,100,229388,272930,1.8
80,17,4,97,100,0,27443,100,229461,273065,1.8
90,18,4,97,100,0,32997,100,229507,273191,1.8
100,19,4,97,100,0,38755,100,229528,273263,1.8
110,20,4,97,100,0,44435,100,229493,273297,1.8
120,21,4,97,100,0,49754,100,229507,273270,1.8
130,22,4,97,100,0,54568,100,229506,273244,1.8
140,23,4,97,100,0,58640,100,229481,273237,1.8
150,24,4,97,100,0,61922,100,229540,273385,1.8
160,25,4,97,100,0,62258,100,229628,273528,1.8
170,26,4,97,100,0,62258,100,229637,273712,1.8
180,27,4,97,100,0,61980,100,229748,273975,1.8
190,28,4,97,100,0,61631,100,229873,274333,1.8
200,29,4,97,100,8,61044,100,229938,274563,1.8
210,30,4,97,100,0,59949,100,229967,274711,1.8
220,31,4,97,100,0,58386,100,229975,274737,1.8
230,32,4,97,100,0,56471,100,230002,274722,1.8
240,33,4,97,100,0,54245,100,229929,274622,1.8
250,34,4,97,100,0,51823,100,229946,274619,1.8
260,35,4,97,100,0,49321,100,229937,274576,1.8
270,36,4,97,100,0,46858,100,229921,274574,1.8
280,37,4,97,100,0,44510,100,229919,274675,1.8
290,38,4,97,100,0,42394,100,230007,274757,1.8
300,39,4,97,100,0,40511,100,230017,274869,1.8
310,40,4,97,100,0,38901,100,230085,275081,1.8
320,41,4,97,100,0,37563,100,230143,275215,1.8
330,42,4,97,100,0,36499,100,230207,275374,1.8
340,43,4,97,100,0,35671,100,230224,275584,1.8
350,44,4,97,100,0,34998,100,230317,275811,1.8
360,45,4,97,100,0,34444,100,230368,275947,1.8
370,46,4,97,100,0,33927,100,230446,276110,1.8
380,47,4,97,100,0,33368,100,230495,276251,1.8
390,48,4,97,100,0,32767,100,230574,276411,1.8
400,49,4,97,100,0,32083,100,230590,276494,1.8
410,50,4,97,100,0,31316,100,230634,276650,1.8
420,51,4,97,100,0,30344,100,230677,276731,1.8
430,52,4,97,100,0,29248,100,230703,276798,1.8
440,53,4,97,100,0,28067,100,230711,276881,1.8
450,54,4,97,100,0,26720,100,230756,276965,1.8
460,55,4,97,100,0,25288,100,230776,277031,1.8
470,56,4,97,100,0,23853,100,230794,277096,1.8
480,57,4,97,100,0,22414,100,230827,277142,1.8
